,House Title,Location,Date,Link,Price,Bedrooms,Sqft,House Description
1,Just reduced for  🎓S.F.U. Student,"Lakecity, Production skytrain",5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-just-reduced-for-sfu-student/6946817179.html,650,,1200,"

QR Code Link to This Post


$650.     SEPTEMBER 01
Walk to skytrain 
HUGE FANTASTIC ROOM WITH PRIVATE ENTRANCE

Quiet home, 
PRICE REDUCED FOR STUDENT
NO GUESTS WHATSOEVER

This is Great for Student.
Only 1 other tenant is his own private room whom is also a student.


Other tenant is male 27 y.o.

Absolutely private room only share kitchen, you have own Satellite tv, 
Your own private area.


Everything  is included

PRIVATE ENTRANCE, COME AND GO AS YOU LIKE

VERY WARM WINTER AND NICE AND COOL IN SUMMER    TRIPLE INSULATED QUIET.

 Big room with couch , table, satellite t.v.,  
20 ft. x 40 ft. +  kitchen, washroom with shower 

walking distance to lake city or Production sky train station 

Tenant was here for over a year, going back his homeland.

-Shared bathroom, kitchen only

- HOT PLATE, MICROWAVE,FRIDGE, TOASTER OVEN,TOASTER, KETTLE

SIMPLE DORM STYLE COOKING, NO GREASY OIL FRYING

VERY QUIET INSULATED HOME. WE DO NOT PARTY. 

-all utilities, Washer, dryer included. satellite . flat screen TV,,,, 150 WI FI incl.

NO GUESTS 

3 months minimum








Close to lake city  SKYTRAIN and the s.f.u. connection on lougheed hwy.    "
2,Room for rent close to Royal Oak Station-Female Only,Burnaby/Metrotown,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-room-for-rent-close-to-royal/6950348306.html,700,,,"

QR Code Link to This Post


Furnished bedroom on 2nd floor of house available now. For Female Only.  Looking for ONLY until end of January.
Looking for quiet, clean and responsible female tenant.
Great for international student or working holiday visa.
The bathroom is shared with one female tenant. 
Shared kitchen and living room.
Rent includes utilities, wireless internet and laundry. 

Located on Marlborough Ave., block and a half from Royal Oak Skytrain and 10 minute walk from Metrotown. Close to library, shopping, restaurants and Bonsor recreation centre.
20 min. to BCIT
35 min. to SFU
Respectful and considerate behavior is a key to having an enjoyable living arrangement for everyone. The rules are really basic:

- Respect privacy of other roommates
- Clean up after yourself
- No smoking/marijuana, drugs, party
- Must be employed or student
- No pets, no overnight guest.

Please call/text  show contact info
 for viewing
Please send a description of yourself (age, current living arrangement) and your occupation.
"
3,Metrotown & BCIT - 2 BR Fully Furnished Extensively Renovated Move-In,54XX willingdon Ave,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-bcit-2-br-fully/6941752584.html,2200,2,1000,"

QR Code Link to This Post


Metrotown central location, private yard recreation and metro town mall, sky train station, Moscrop Secondary, BCIT, Willingdon Church nearby, spotless home, in-suite laundry

2 bedroom ground floor suite with laminated and share south exposure backyard

August 1 move-in and Fully furnished.

Availability: August 1, 2019
Monthly rental is available $2200.00 per month included utilities
At lease one year lease

Set up like your home - Wifi internet, TV Cable, Hydro and gas are included.

Lovely home situated in a quiet neighbourhood. Very comfortable home to live in, spacious floor plan with great characteristics. Features 2 bedrooms, 1 living rooms and 1.5 full baths. Don't hesitate and book a showing now!

CONVENIENCES:

- 10 Minute walk to Metrotown shopping centre, Skytrain Station, BCIT, Willingdon church, Moscrop High School, 
- 2 minutes walk to bus 130, 110

FEATURES:
- 1200 sqft ground floor suite, facing North and South
- 2 Bedrooms
- 1.5 Baths in total
- 1 Living rooms 
- 1 Dining room
- 1 Fully equipped kitchen with necessary appliances
- 1 carport (driveway can store more cars if needed)
- Laundry room with washing machine and dryer
- Front and back yard

RENT: $2200.00 per month included utilities (electricity, gas, own cable/telephone, internet, etc).

- No PETS AND NO SMOKING (strict)
- Minimum 1 year lease, no sublet
- Applications with references will be considered after showing

please contact at  show contact info
 or  show contact info
"
4,Metrotown & BCIT - 2 BR Fully Furnished Extensively Renovated Move-In,54xx willingdon ave,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-bcit-2-br-fully/6941737202.html,2200,2,1000,"

QR Code Link to This Post


Metrotown central location, private yard recreation and metro town mall, sky train station, Moscrop Secondary, BCIT, Willingdon Church nearby, spotless home, in-suite laundry

2 bedroom ground floor suite with laminated and share south exposure backyard

August 1 move-in and Fully furnished.

Availability: August 1, 2019
Monthly rental is available $2200.00 per month included utilities
At lease one year lease

Set up like your home - Wifi internet, TV Cable, Hydro and gas are included.

Lovely home situated in a quiet neighbourhood. Very comfortable home to live in, spacious floor plan with great characteristics. Features 2 bedrooms, 1 living rooms and 1.5 full baths. Don't hesitate and book a showing now!

CONVENIENCES:

- 10 Minute walk to Metrotown shopping centre, Skytrain Station, BCIT, Willingdon church, Moscrop High School, 
- 2 minutes walk to bus 130, 110

FEATURES:
- 1200 sqft ground floor suite, facing North and South
- 2 Bedrooms
- 1.5 Baths in total
- 1 Living rooms 
- 1 Dining room
- 1 Fully equipped kitchen with necessary appliances
- 1 carport (driveway can store more cars if needed)
- Laundry room with washing machine and dryer
- Front and back yard

RENT: $2200.00 per month included utilities (electricity, gas, own cable/telephone, internet, etc).

- No PETS AND NO SMOKING (strict)
- Minimum 1 year lease, no sublet
- Applications with references will be considered after showing

please contact at  show contact info
 or  show contact info
"
5,South Burnaby - McGregor Ave. Private entrance suite,N/A,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/burnaby-south-burnaby-mcgregor-ave/6950340199.html,1100,1,,"

QR Code Link to This Post


Ground floor suite located on McGregor Ave. in south Burnaby. 15 minutes walk to Royal Oak skytrain station. 
-Private Entry
-Street parking
-One full bathroom with bathtub
-Laundry/Dryer
-Stove/Oven
-Includes internet/Utility/heat
-No pets, no smoking of any kind within building
"
6,30th floor brand new at Riversky Bosa!,New westminister quay side,5-Aug,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-30th-floor-brand-new-at/6942551445.html,2500,2,827,"

QR Code Link to This Post


Location:
Riversky1 
-Address: 30th floor 908 Quayside Dr, New Westminster downtown 
-Short walk to: New West Skytrain, River Market/Quay, Landmark Cinemas, Safeway
-Nearby: Douglas College, downtown New West restaurants, shops, Westminster Pier Park

School Catchment: 
-Qayqayt Elementary, Fraser River Middle, New West Secondary

Property Features:

SQ.FT.: 757 indoor
PLUS 70 outdoor balcony

Year Built: 2019

Rent: $2500

•Super high ceiling over 13’ super bright place (check the differences between the first 2 pics)
•More storing place in closet bedrooms and kitchen cabinets due to the high ceiling. 
•Balcony with Amazing Views! (Water and mountains)
•High end Finishings
•Brand New 2 Bed 1 Bath
•Top Grade Appliances
•Full Size Secured Parking Included
•Secured Storage Locker Included
•Blackout Blinds In Bedrooms
•Island Table In The Kitchen Extendable To Accommodate 5 On A Luxury Dinning Table
•In Suite Laundry
•Hard Wood Floors
•bicycle storage available 
•Parcels and Grocery storage
•Conceierge 24 hours
•Internet & Cable included 
•Hydro Included 



Amenities

•Fitness Studio
•Yoga Studio
•Club Room
•Fireside Lounge
•Rooftop Terrace
•Owners Lounge
•Community Room


A private fitness room and entertainment lounge on site, the shops and restaurants of River Market next door, SkyTrain just around the corner (2-3 minutes walk), and the boardwalk at your front steps. 2blocks away from Columbia st. 

Available NOW! One year lease, extendable 

NO smoking, sorry NO PETS allowed and no Subletting

*Credit, Employment, and previous landlord references will be checked *

Email to set an appointment    "
7,Single Bedroom Available for rent beginning September 1st,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/burnaby-single-bedroom-available-for/6948897515.html,450,,,"

QR Code Link to This Post


Single Bedroom Available for rent beginning September 1st


Kitchen is shared*
Bathroom is shared (with 1 room mate)*

Location is in Montecito area in North Burnaby, it is a quiet and safe neighbour hood with convenient public transit.

- 3 min walk to bus station
- bus goes directly to SFU / Metrotown . also 5 min bus ride to skytrain station
- Convenient stores and restaurants close by
- close to Simon Fraser

All Utilities included:
- gas
- electricity
- wifi
- laundry

Room is furnished with Desk, chair, double size bed.*


NO PETS, NO SMOKING ,NO DRUGS and NO VISITATION policy. (this is to keep the environment safe, clean, comfortable, and quiet at all times for all occupants)

-suitable for mature and responsible University students/ working professionals.

Please have credit report , letter of employment, and/or education enrollment proof ready upon application.
Please call  show contact info
 for scheduling appointment for viewing. Viewing is done by appointment only. Thank you
"
8,Burnaby Private Office Space Available from $500/mon,N/A,5-Aug,https://vancouver.craigslist.org/bnc/off/d/burnaby-private-office-space-available/6929726613.html,500,,50,"

QR Code Link to This Post


Large private and secure office space available in a central Burnaby location (Marine Way and Byrne Rd.). 24/7 secure access to building with alarmed premises. Two washrooms available. Wireless High-speed internet included. Complimentary B/W printing/photocopying/scanning/fax. Color printing/photocopying available for extra charge. Large boardroom available for booking with room for up to 6 people and use of conference phone and TV. Kitchen facilities available including shared refrigerator, microwave, coffee machine and hot water machine. Guest lounge area with comfortable seating. Walking distance to shopping and restaurants.

Pricing:
Small secured office (approx. 50sf) - $500/mon (**2 Available - CALL ASAP**)

Note: Discounts for 3 month contracts or longer.

Benefits
- Private Secured Office with weekly housekeeping
- 24/7 secured access to alarmed premises
- Office furniture provided free of charge
- Air conditioned
- Business mailing address & package receiving
- High speed wireless internet
- Unlimited B/W printing/photocopying/scanning/fax (Color charges apply)
- Kitchen facilities (fridge, microwave, Bottled cold water cooler, coffee machine, variety of teas)
- Two washrooms available
- Free coffee and tea
- Includes 4 hours per month Boardroom booking
- Secured document shredding service

Contact Paul at 6O4-8O9-1322    "
9,House for sale North Burnaby 1650000,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/reo/d/burnaby-house-for-sale-north-burnaby/6945411823.html,0,,,"

QR Code Link to This Post


House for sale North Burnaby (lower Capitol Hill).
Fully renovated, 28 years old house on one of most desirable north burnaby streets.
2400sf full finished main (2 bedroom) and second floor (3 Bedroom). 4 full bathrooms double garage.  Radiant heating, Harwood  flors, stainless steel appliances up and down.
Lower apartment rented for $1400. 
Private sale (no realtors please).
1650000    "
10,Room for rent $680.00,Burnaby,5-Aug,https://vancouver.craigslist.org/bnc/roo/d/room-for-rent-68000/6943971190.html,680,,,"

QR Code Link to This Post


2 min walk to bus station. Bright, clean and new house. Quiet atmosphere and only for female. No pets and no party.
2 rooms avaliable now. 
$680.00 monthly include utility and Internet.
Looking for female roommates only.
Please contact Styna @  show contact info
"
